data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1965,NA,NA,national,United States,0,,Overall,20.62721
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1965,NA,NA,national,United States,0,,Overall,15.3021
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1965,NA,NA,national,United States,0,,Overall,2.3470095091084953
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1966,NA,NA,national,United States,0,,Overall,21.8548
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1966,NA,NA,national,United States,0,,Overall,16.212776666666667
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1967,NA,NA,national,United States,0,,Overall,23.08239
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1967,NA,NA,national,United States,0,,Overall,17.123453333333334
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1968,NA,NA,national,United States,0,,Overall,24.30998
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1968,NA,NA,national,United States,0,,Overall,18.03413
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1968,NA,NA,national,United States,0,,Overall,2.7092880517966225
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1969,NA,NA,national,United States,0,,Overall,24.038798
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1969,NA,NA,national,United States,0,,Overall,17.832956
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1970,NA,NA,national,United States,0,,Overall,23.767616
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1970,NA,NA,national,United States,0,,Overall,17.631782
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1971,NA,NA,national,United States,0,,Overall,23.496434
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1971,NA,NA,national,United States,0,,Overall,17.430608
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1972,NA,NA,national,United States,0,,Overall,23.225252
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1972,NA,NA,national,United States,0,,Overall,17.229434
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1973,NA,NA,national,United States,0,,Overall,22.95407
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1973,NA,NA,national,United States,0,,Overall,17.02826
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1973,NA,NA,national,United States,0,,Overall,2.4646133015899907
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1974,NA,NA,national,United States,0,,Overall,24.51267
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1974,NA,NA,national,United States,0,,Overall,18.184492
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1975,NA,NA,national,United States,0,,Overall,26.07127
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1975,NA,NA,national,United States,0,,Overall,19.340724
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1976,NA,NA,national,United States,0,,Overall,27.62987
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1976,NA,NA,national,United States,0,,Overall,20.496956
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1977,NA,NA,national,United States,0,,Overall,29.18847
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1977,NA,NA,national,United States,0,,Overall,21.653188
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1978,NA,NA,national,United States,0,,Overall,30.74707
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1978,NA,NA,national,United States,0,,Overall,22.80942
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1978,NA,NA,national,United States,0,,Overall,3.1343759426856304
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1979,NA,NA,national,United States,0,,Overall,33.41729
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1979,NA,NA,national,United States,0,,Overall,24.790297272727273
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1980,NA,NA,national,United States,0,,Overall,36.08751
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1980,NA,NA,national,United States,0,,Overall,26.771174545454542
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1981,NA,NA,national,United States,0,,Overall,38.75773
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1981,NA,NA,national,United States,0,,Overall,28.752051818181815
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1982,NA,NA,national,United States,0,,Overall,41.42795
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1982,NA,NA,national,United States,0,,Overall,30.73292909090909
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1983,NA,NA,national,United States,0,,Overall,44.09817
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1983,NA,NA,national,United States,0,,Overall,32.713806363636365
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1984,NA,NA,national,United States,0,,Overall,46.76839
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1984,NA,NA,national,United States,0,,Overall,34.694683636363635
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1985,NA,NA,national,United States,0,,Overall,49.43861
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1985,NA,NA,national,United States,0,,Overall,36.675560909090905
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1986,NA,NA,national,United States,0,,Overall,52.10883
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1986,NA,NA,national,United States,0,,Overall,38.65643818181818
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1987,NA,NA,national,United States,0,,Overall,54.77905
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1987,NA,NA,national,United States,0,,Overall,40.63731545454546
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1988,NA,NA,national,United States,0,,Overall,57.44927
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1988,NA,NA,national,United States,0,,Overall,42.61819272727273
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1989,NA,NA,national,United States,0,,Overall,60.11949
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1989,NA,NA,national,United States,0,,Overall,44.59907
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1989,NA,NA,national,United States,0,,Overall,2.4757968931353576
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1990,NA,NA,national,United States,0,,Overall,75.64807333333333
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1990,NA,NA,national,United States,0,,Overall,56.118806666666664
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1991,NA,NA,national,United States,0,,Overall,91.17665666666667
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1991,NA,NA,national,United States,0,,Overall,67.63854333333333
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1992,NA,NA,national,United States,0,,Overall,106.70524
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1992,NA,NA,national,United States,0,,Overall,79.15828
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1992,NA,NA,national,United States,0,,Overall,3.918075618369064
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1993,NA,NA,national,United States,0,,Overall,108.26028
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1993,NA,NA,national,United States,0,,Overall,99.22023
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1993,NA,NA,national,United States,0,,Overall,4.545303610457241
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1994,NA,NA,national,United States,0,,Overall,87.60593
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1994,NA,NA,national,United States,0,,Overall,117.88148
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1994,NA,NA,national,United States,0,,Overall,3.9573895828533345
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1995,NA,NA,national,United States,0,,Overall,117.08442
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1995,NA,NA,national,United States,0,,Overall,130.1075
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1995,NA,NA,national,United States,0,,Overall,4.513365884187981
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1996,NA,NA,national,United States,0,,Overall,150.0365
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1996,NA,NA,national,United States,0,,Overall,176.36082
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1996,NA,NA,national,United States,0,,Overall,5.4750375309639026
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1997,NA,NA,national,United States,0,,Overall,223.09686
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1997,NA,NA,national,United States,0,,Overall,234.83451
2026.8.14,CEO pay ratio,Ratio of CEO compensation to top 0.1% wages,year,1997,NA,NA,national,United States,0,,Overall,7.192592643543454
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, realized",year,1998,NA,NA,national,United States,0,,Overall,304.23004
2026.8.14,CEO pay ratio,"CEO-to-worker pay ratio, granted",year,1998,NA,NA,national,United States,0,,Overall,301.47923
