data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,College wage premium,"College wage premium, average",year,1982,NA,NA,national,United States,0,,Overall,0.34412897828826217
2026.8.14,College wage premium,"College wage premium, average",year,1981,NA,NA,national,United States,0,,Overall,0.3225696397544595
2026.8.14,College wage premium,"College wage premium, average",year,1984,NA,NA,national,United States,0,,Overall,0.3947033544594749
2026.8.14,College wage premium,"College wage premium, average",year,1985,NA,NA,national,United States,0,,Overall,0.41920771624632747
2026.8.14,College wage premium,"College wage premium, average",year,1986,NA,NA,national,United States,0,,Overall,0.44215028146043345
2026.8.14,College wage premium,"College wage premium, average",year,1983,NA,NA,national,United States,0,,Overall,0.36800177377837495
2026.8.14,College wage premium,"College wage premium, average",year,1980,NA,NA,national,United States,0,,Overall,0.31059629510756515
2026.8.14,College wage premium,"College wage premium, average",year,1979,NA,NA,national,United States,0,,Overall,0.2926551218290183
2026.8.14,College wage premium,"College wage premium, average",year,1987,NA,NA,national,United States,0,,Overall,0.4687268187984941
2026.8.14,College wage premium,"College wage premium, average",year,1989,NA,NA,national,United States,0,,Overall,0.47147759769345376
2026.8.14,College wage premium,"College wage premium, average",year,1988,NA,NA,national,United States,0,,Overall,0.4730273537611822
2026.8.14,College wage premium,"College wage premium, average",year,1990,NA,NA,national,United States,0,,Overall,0.5019823700216175
2026.8.14,College wage premium,"College wage premium, average",year,1991,NA,NA,national,United States,0,,Overall,0.49050622543004896
2026.8.14,College wage premium,"College wage premium, average",year,1992,NA,NA,national,United States,0,,Overall,0.508524576273983
2026.8.14,College wage premium,"College wage premium, average",year,1995,NA,NA,national,United States,0,,Overall,0.524600870173902
2026.8.14,College wage premium,"College wage premium, average",year,1993,NA,NA,national,United States,0,,Overall,0.514544607102245
2026.8.14,College wage premium,"College wage premium, average",year,1994,NA,NA,national,United States,0,,Overall,0.5230767667958169
2026.8.14,College wage premium,"College wage premium, average",year,1996,NA,NA,national,United States,0,,Overall,0.5192274684735665
2026.8.14,College wage premium,"College wage premium, average",year,1998,NA,NA,national,United States,0,,Overall,0.5590769215210127
2026.8.14,College wage premium,"College wage premium, average",year,1999,NA,NA,national,United States,0,,Overall,0.5729813507958876
2026.8.14,College wage premium,"College wage premium, average",year,2001,NA,NA,national,United States,0,,Overall,0.58714609562184
2026.8.14,College wage premium,"College wage premium, average",year,2000,NA,NA,national,United States,0,,Overall,0.5831381979195878
2026.8.14,College wage premium,"College wage premium, average",year,1997,NA,NA,national,United States,0,,Overall,0.5362046421687043
2026.8.14,College wage premium,"College wage premium, average",year,2003,NA,NA,national,United States,0,,Overall,0.5611640174463204
2026.8.14,College wage premium,"College wage premium, average",year,2004,NA,NA,national,United States,0,,Overall,0.5553990502740205
2026.8.14,College wage premium,"College wage premium, average",year,2002,NA,NA,national,United States,0,,Overall,0.5712964181202251
2026.8.14,College wage premium,"College wage premium, average",year,2005,NA,NA,national,United States,0,,Overall,0.5775655281309791
2026.8.14,College wage premium,"College wage premium, average",year,2006,NA,NA,national,United States,0,,Overall,0.5796765709081226
2026.8.14,College wage premium,"College wage premium, average",year,2007,NA,NA,national,United States,0,,Overall,0.5975579254059862
2026.8.14,College wage premium,"College wage premium, average",year,2008,NA,NA,national,United States,0,,Overall,0.6025548306913653
2026.8.14,College wage premium,"College wage premium, average",year,2009,NA,NA,national,United States,0,,Overall,0.5841265755495679
2026.8.14,College wage premium,"College wage premium, average",year,2010,NA,NA,national,United States,0,,Overall,0.6036241542378957
2026.8.14,College wage premium,"College wage premium, average",year,2011,NA,NA,national,United States,0,,Overall,0.6001684727798513
2026.8.14,College wage premium,"College wage premium, average",year,2012,NA,NA,national,United States,0,,Overall,0.6089006095499323
2026.8.14,College wage premium,"College wage premium, average",year,2013,NA,NA,national,United States,0,,Overall,0.6262708640241674
2026.8.14,College wage premium,"College wage premium, average",year,2014,NA,NA,national,United States,0,,Overall,0.6044939269327481
2026.8.14,College wage premium,"College wage premium, average",year,2016,NA,NA,national,United States,0,,Overall,0.6352921595293182
2026.8.14,College wage premium,"College wage premium, average",year,2015,NA,NA,national,United States,0,,Overall,0.6325182818651809
2026.8.14,College wage premium,"College wage premium, average",year,2017,NA,NA,national,United States,0,,Overall,0.6110179414146386
2026.8.14,College wage premium,"College wage premium, average",year,2018,NA,NA,national,United States,0,,Overall,0.6004611558250041
2026.8.14,College wage premium,"College wage premium, average",year,2019,NA,NA,national,United States,0,,Overall,0.6169149574396535
2026.8.14,College wage premium,"College wage premium, average",year,2022,NA,NA,national,United States,0,,Overall,0.6122562130500873
2026.8.14,College wage premium,"College wage premium, average",year,2021,NA,NA,national,United States,0,,Overall,0.5984053092075643
2026.8.14,College wage premium,"College wage premium, average",year,2023,NA,NA,national,United States,0,,Overall,0.5950095348616817
2026.8.14,College wage premium,"College wage premium, average",year,2020,NA,NA,national,United States,0,,Overall,0.6179804734793304
2026.8.14,College wage premium,"College wage premium, average",year,2025,NA,NA,national,United States,0,,Overall,0.5518666332532463
2026.8.14,College wage premium,"College wage premium, average",year,2024,NA,NA,national,United States,0,,Overall,0.5787622801491732
2026.8.14,College wage premium,"College wage premium, average",year,1982,NA,NA,national,United States,0,Gender,Male,0.29771526165367246
2026.8.14,College wage premium,"College wage premium, average",year,1982,NA,NA,national,United States,0,Gender,Female,0.36469185290328365
2026.8.14,College wage premium,"College wage premium, average",year,1981,NA,NA,national,United States,0,Gender,Female,0.34722425550515945
2026.8.14,College wage premium,"College wage premium, average",year,1981,NA,NA,national,United States,0,Gender,Male,0.2737887381817421
2026.8.14,College wage premium,"College wage premium, average",year,1984,NA,NA,national,United States,0,Gender,Male,0.3488630952707257
2026.8.14,College wage premium,"College wage premium, average",year,1984,NA,NA,national,United States,0,Gender,Female,0.41400676751863164
2026.8.14,College wage premium,"College wage premium, average",year,1985,NA,NA,national,United States,0,Gender,Male,0.36395464524603494
2026.8.14,College wage premium,"College wage premium, average",year,1985,NA,NA,national,United States,0,Gender,Female,0.44739865370717213
2026.8.14,College wage premium,"College wage premium, average",year,1986,NA,NA,national,United States,0,Gender,Male,0.39951259942283346
2026.8.14,College wage premium,"College wage premium, average",year,1986,NA,NA,national,United States,0,Gender,Female,0.45653513154192593
2026.8.14,College wage premium,"College wage premium, average",year,1983,NA,NA,national,United States,0,Gender,Male,0.3184943219832084
2026.8.14,College wage premium,"College wage premium, average",year,1983,NA,NA,national,United States,0,Gender,Female,0.39102416742634327
2026.8.14,College wage premium,"College wage premium, average",year,1980,NA,NA,national,United States,0,Gender,Female,0.3445071859624538
2026.8.14,College wage premium,"College wage premium, average",year,1980,NA,NA,national,United States,0,Gender,Male,0.25844634688198953
2026.8.14,College wage premium,"College wage premium, average",year,1979,NA,NA,national,United States,0,Gender,Male,0.23874222040151305
2026.8.14,College wage premium,"College wage premium, average",year,1979,NA,NA,national,United States,0,Gender,Female,0.3327409925712361
2026.8.14,College wage premium,"College wage premium, average",year,1987,NA,NA,national,United States,0,Gender,Female,0.4823737135488586
2026.8.14,College wage premium,"College wage premium, average",year,1987,NA,NA,national,United States,0,Gender,Male,0.4298679268594414
2026.8.14,College wage premium,"College wage premium, average",year,1989,NA,NA,national,United States,0,Gender,Female,0.523530422530285
2026.8.14,College wage premium,"College wage premium, average",year,1989,NA,NA,national,United States,0,Gender,Male,0.40343118691190716
2026.8.14,College wage premium,"College wage premium, average",year,1988,NA,NA,national,United States,0,Gender,Male,0.4315306845620257
2026.8.14,College wage premium,"College wage premium, average",year,1988,NA,NA,national,United States,0,Gender,Female,0.48818039710329963
2026.8.14,College wage premium,"College wage premium, average",year,1990,NA,NA,national,United States,0,Gender,Female,0.5506340836588082
2026.8.14,College wage premium,"College wage premium, average",year,1990,NA,NA,national,United States,0,Gender,Male,0.4374214642240233
2026.8.14,College wage premium,"College wage premium, average",year,1991,NA,NA,national,United States,0,Gender,Male,0.4391186960991116
2026.8.14,College wage premium,"College wage premium, average",year,1991,NA,NA,national,United States,0,Gender,Female,0.5238638288055999
2026.8.14,College wage premium,"College wage premium, average",year,1992,NA,NA,national,United States,0,Gender,Female,0.5547179781920915
2026.8.14,College wage premium,"College wage premium, average",year,1992,NA,NA,national,United States,0,Gender,Male,0.44829403418786273
2026.8.14,College wage premium,"College wage premium, average",year,1995,NA,NA,national,United States,0,Gender,Male,0.45394821041073175
2026.8.14,College wage premium,"College wage premium, average",year,1995,NA,NA,national,United States,0,Gender,Female,0.5858219109400438
2026.8.14,College wage premium,"College wage premium, average",year,1993,NA,NA,national,United States,0,Gender,Female,0.558896657303317
2026.8.14,College wage premium,"College wage premium, average",year,1993,NA,NA,national,United States,0,Gender,Male,0.45668263456490843
2026.8.14,College wage premium,"College wage premium, average",year,1994,NA,NA,national,United States,0,Gender,Female,0.5815406613906515
2026.8.14,College wage premium,"College wage premium, average",year,1994,NA,NA,national,United States,0,Gender,Male,0.4545816781928651
2026.8.14,College wage premium,"College wage premium, average",year,1996,NA,NA,national,United States,0,Gender,Male,0.4565339387012344
2026.8.14,College wage premium,"College wage premium, average",year,1996,NA,NA,national,United States,0,Gender,Female,0.5734759152591966
2026.8.14,College wage premium,"College wage premium, average",year,1998,NA,NA,national,United States,0,Gender,Female,0.6033173945652985
2026.8.14,College wage premium,"College wage premium, average",year,1998,NA,NA,national,United States,0,Gender,Male,0.5077216744530684
2026.8.14,College wage premium,"College wage premium, average",year,1999,NA,NA,national,United States,0,Gender,Male,0.5188985450740875
2026.8.14,College wage premium,"College wage premium, average",year,1999,NA,NA,national,United States,0,Gender,Female,0.6182865122460739
2026.8.14,College wage premium,"College wage premium, average",year,2001,NA,NA,national,United States,0,Gender,Male,0.543187252812728
2026.8.14,College wage premium,"College wage premium, average",year,2001,NA,NA,national,United States,0,Gender,Female,0.6247539136653555
