data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1982,NA,NA,national,United States,0,,Overall,0.3499914223754155
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1982,NA,NA,national,United States,0,Race/Ethnicity,Black,0.2095126389289219
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1982,NA,NA,national,United States,0,Race/Ethnicity,White,0.3724777859305497
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1982,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.21677079482551764
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1982,NA,NA,national,United States,0,,Overall,0.32914057398012464
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1982,NA,NA,national,United States,0,Race/Ethnicity,Black,0.1987093638995704
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1982,NA,NA,national,United States,0,Race/Ethnicity,White,0.3469159618256614
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1982,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.22647320906370838
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1979,NA,NA,national,United States,0,,Overall,0.369544885182592
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1979,NA,NA,national,United States,0,Race/Ethnicity,Black,0.24599583076453113
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1979,NA,NA,national,United States,0,Race/Ethnicity,White,0.3908833982646902
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1979,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.2827341227019823
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1979,NA,NA,national,United States,0,,Overall,0.3451623706354634
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1979,NA,NA,national,United States,0,Race/Ethnicity,Black,0.2294790768665823
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1979,NA,NA,national,United States,0,Race/Ethnicity,White,0.36107413385707754
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1979,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.2662576601458053
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1980,NA,NA,national,United States,0,,Overall,0.36539139682101573
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1980,NA,NA,national,United States,0,Race/Ethnicity,Black,0.24547719589593298
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1980,NA,NA,national,United States,0,Race/Ethnicity,White,0.3832719027934586
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1980,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.24313946927710273
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1980,NA,NA,national,United States,0,,Overall,0.3390425882828355
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1980,NA,NA,national,United States,0,Race/Ethnicity,Black,0.21253746373402627
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1980,NA,NA,national,United States,0,Race/Ethnicity,White,0.3565148840832808
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1980,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.24777024640313117
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1981,NA,NA,national,United States,0,,Overall,0.34776980061790985
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1981,NA,NA,national,United States,0,Race/Ethnicity,Black,0.23947342455242815
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1981,NA,NA,national,United States,0,Race/Ethnicity,White,0.3699009286324636
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1981,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.24153766246154618
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1981,NA,NA,national,United States,0,,Overall,0.3346857485518496
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1981,NA,NA,national,United States,0,Race/Ethnicity,Black,0.21293401575091997
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1981,NA,NA,national,United States,0,Race/Ethnicity,White,0.35219196525406316
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1981,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.24573017639703976
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1987,NA,NA,national,United States,0,,Overall,0.3068691839151231
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1987,NA,NA,national,United States,0,Race/Ethnicity,Black,0.1778211247158934
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1987,NA,NA,national,United States,0,Race/Ethnicity,White,0.3235948099195486
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1987,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.18421338559047484
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1987,NA,NA,national,United States,0,,Overall,0.3080476037617448
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1987,NA,NA,national,United States,0,Race/Ethnicity,Black,0.17621590927636344
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1987,NA,NA,national,United States,0,Race/Ethnicity,White,0.3306618936364081
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1987,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.19168260147226202
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1983,NA,NA,national,United States,0,,Overall,0.333266483962929
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1983,NA,NA,national,United States,0,Race/Ethnicity,Black,0.21353967982739186
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1983,NA,NA,national,United States,0,Race/Ethnicity,White,0.3547692402779842
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1983,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.20366896595782102
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1983,NA,NA,national,United States,0,,Overall,0.3253595838484188
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1983,NA,NA,national,United States,0,Race/Ethnicity,Black,0.202568052903493
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1983,NA,NA,national,United States,0,Race/Ethnicity,White,0.342506809073866
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1983,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.22846075828684453
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1985,NA,NA,national,United States,0,,Overall,0.3209745587050641
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1985,NA,NA,national,United States,0,Race/Ethnicity,Black,0.17407899400379778
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1985,NA,NA,national,United States,0,Race/Ethnicity,White,0.35385536191233646
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1985,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.20697549378252622
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1985,NA,NA,national,United States,0,,Overall,0.3144711181074278
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1985,NA,NA,national,United States,0,Race/Ethnicity,Black,0.17041337480550645
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1985,NA,NA,national,United States,0,Race/Ethnicity,White,0.33630955365002335
2026.8.14,Gender wage gap,"Gender wage gap, raw average",year,1985,NA,NA,national,United States,0,Race/Ethnicity,Hispanic,0.213215107048224
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1989,NA,NA,national,United States,0,,Overall,0.27554359436484765
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1989,NA,NA,national,United States,0,Race/Ethnicity,Black,0.14064849957578296
2026.8.14,Gender wage gap,"Gender wage gap, raw median",year,1989,NA,NA,national,United States,0,Race/Ethnicity,White,0.2950789850767285
