data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1982,NA,NA,national,United States,0,,Overall,0.20359656064997045
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1982,NA,NA,national,United States,0,Gender,Female,0.09854666385646471
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1982,NA,NA,national,United States,0,Gender,Male,0.2777567669338057
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw average",year,1982,NA,NA,national,United States,0,,Overall,0.19296507100339222
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw average",year,1982,NA,NA,national,United States,0,Gender,Female,0.11272613727518144
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw average",year,1982,NA,NA,national,United States,0,Gender,Male,0.2508799901636588
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1979,NA,NA,national,United States,0,,Overall,0.18003512810542277
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1979,NA,NA,national,United States,0,Gender,Female,0.126853732662065
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1979,NA,NA,national,United States,0,Gender,Male,0.25850663747973723
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw average",year,1979,NA,NA,national,United States,0,,Overall,0.1831651930174648
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw average",year,1979,NA,NA,national,United States,0,Gender,Female,0.11691709485507196
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw average",year,1979,NA,NA,national,United States,0,Gender,Male,0.2310318222090727
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1980,NA,NA,national,United States,0,,Overall,0.179814506478701
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1980,NA,NA,national,United States,0,Gender,Female,0.11383628512558008
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw median",year,1980,NA,NA,national,United States,0,Gender,Male,0.2779091530034159
2026.8.14,Hispanic-white wage gap,"Hispanic-white wage gap, raw average",year,1980,NA,NA,national,United States,0,,Overall,0.18036214570851872
