data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,Minimum wage,Nominal minimum wage,month,1938,NA,10,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1938,NA,11,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1938,NA,12,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,1,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,2,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,3,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,4,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,5,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,6,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,7,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,8,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,9,national,United States,0,,Overall,0.25
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,10,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,11,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1939,NA,12,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,1,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,2,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,3,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,4,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,5,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,6,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,7,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,8,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,9,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,10,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,11,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1940,NA,12,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,1,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,2,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,3,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,4,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,5,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,6,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,7,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,8,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,9,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,10,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,11,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1941,NA,12,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,1,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,2,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,3,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,4,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,5,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,6,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,7,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,8,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,9,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,10,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,11,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1942,NA,12,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,1,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,2,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,3,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,4,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,5,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,6,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,7,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,8,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,9,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,10,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,11,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1943,NA,12,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,1,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,2,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,3,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,4,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,5,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,6,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,7,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,8,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,9,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,10,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,11,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1944,NA,12,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,1,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,2,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,3,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,4,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,5,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,6,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,7,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,8,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,9,national,United States,0,,Overall,0.3
2026.8.14,Minimum wage,Nominal minimum wage,month,1945,NA,10,national,United States,0,,Overall,0.4
