data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1948,NA,NA,national,United States,0,Outcome,Total compensation per hour,100
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1948,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),100
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1949,NA,NA,national,United States,0,Outcome,Total compensation per hour,105.35767607830428
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1949,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),101.7100897239574
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1950,NA,NA,national,United States,0,Outcome,Total compensation per hour,109.31234653331528
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1950,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),109.46295752052966
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1951,NA,NA,national,United States,0,Outcome,Total compensation per hour,110.3468381956502
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1951,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),111.27843758358158
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1952,NA,NA,national,United States,0,Outcome,Total compensation per hour,113.23104771549306
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1952,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),113.81579251407766
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1953,NA,NA,national,United States,0,Outcome,Total compensation per hour,119.10638685169796
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1953,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),118.44987539669188
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1954,NA,NA,national,United States,0,Outcome,Total compensation per hour,122.50089247779373
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1954,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),121.6273381665334
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1955,NA,NA,national,United States,0,Outcome,Total compensation per hour,127.10448703191892
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1955,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),128.69659526212732
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1956,NA,NA,national,United States,0,Outcome,Total compensation per hour,131.81695449621205
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1956,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),130.7059512727195
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1957,NA,NA,national,United States,0,Outcome,Total compensation per hour,134.78372687444
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1957,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),134.18052020053298
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1958,NA,NA,national,United States,0,Outcome,Total compensation per hour,135.13310159607542
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1958,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),135.99256556351065
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1959,NA,NA,national,United States,0,Outcome,Total compensation per hour,139.6881863384814
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1959,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),142.21264499353637
2026.8.14,Productivity and pay indexes,"Productivity and pay real index, base = 1948",year,1960,NA,NA,national,United States,0,Outcome,Total compensation per hour,142.2047775127945
