data_version,indicator,measure,date_interval,year,quarter,month,geo_type,geo_name,geo_code,group,group_value,value
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1948,NA,NA,national,United States,0,Outcome,Total compensation per hour,1.4061583030372184
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1948,NA,NA,national,United States,0,Outcome,Total compensation per hour,15.4073541670213
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1948,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),1.9460742234788229
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1948,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),21.323242718608448
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1949,NA,NA,national,United States,0,Outcome,Total compensation per hour,1.4724067793255555
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1949,NA,NA,national,United States,0,Outcome,Total compensation per hour,16.23283029552742
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1949,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),1.9672105637104849
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1949,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),21.687889301153863
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1950,NA,NA,national,United States,0,Outcome,Total compensation per hour,1.5465347268207177
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1950,NA,NA,national,United States,0,Outcome,Total compensation per hour,16.84214037866952
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1950,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),2.1432992987275736
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1950,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),23.341052119069797
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1951,NA,NA,national,United States,0,Outcome,Total compensation per hour,1.6849218849976126
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1951,NA,NA,national,United States,0,Outcome,Total compensation per hour,17.001528172913766
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1951,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),2.351560093548571
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1951,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),23.728171339422307
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1952,NA,NA,national,United States,0,Outcome,Total compensation per hour,1.768034404976728
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1952,NA,NA,national,United States,0,Outcome,Total compensation per hour,17.445908548554897
2026.8.14,Productivity and pay levels,"Productivity and pay, nominal dollars per hour",year,1952,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),2.459534379545972
2026.8.14,Productivity and pay levels,"Productivity and pay, real dollars per hour (2025$)",year,1952,NA,NA,national,United States,0,Outcome,Net productivity (output per hour),24.269217689884563
