occupation,year,index
Clerical and data entry,2016,17.8278
Clerical and data entry,2017,17.9968
Clerical and data entry,2018,15.3331
Clerical and data entry,2019,13.7826
Clerical and data entry,2020,13.6715
Clerical and data entry,2021,31.5601
Clerical and data entry,2022,37.6417
Clerical and data entry,2023,30.7692
Clerical and data entry,2024,23.7614
Creative and multimedia,2016,23.2686
Creative and multimedia,2017,28.2617
Creative and multimedia,2018,30.009
Creative and multimedia,2019,28.0595
Creative and multimedia,2020,27.8939
Creative and multimedia,2021,28.3832
Creative and multimedia,2022,30.0383
Creative and multimedia,2023,33.72
Creative and multimedia,2024,27.9247
Professional services,2016,2.1201
Professional services,2017,2.913
Professional services,2018,2.666
Professional services,2019,2.8998
Professional services,2020,3.6834
Professional services,2021,5.1931
Professional services,2022,5.8612
Professional services,2023,6.08
Professional services,2024,5.0886
Sales and marketing support,2016,9.5652
Sales and marketing support,2017,12.1225
Sales and marketing support,2018,13.3631
Sales and marketing support,2019,14.8453
Sales and marketing support,2020,15.9786
Sales and marketing support,2021,18.8624
Sales and marketing support,2022,19.9389
Sales and marketing support,2023,22.4235
Sales and marketing support,2024,17.6217
Software development and technology,2016,37.8088
Software development and technology,2017,45.7309
Software development and technology,2018,49.6169
Software development and technology,2019,53.5266
Software development and technology,2020,63.1951
Software development and technology,2021,63.9605
Software development and technology,2022,58.2575
Software development and technology,2023,56.6747
Software development and technology,2024,42.3405
Total,2016,103.4822
Total,2017,122.9014
Total,2018,128.4888
Total,2019,129.6398
Total,2020,141.1382
Total,2021,166.0677
Total,2022,171.1388
Total,2023,163.5531
Total,2024,125.3925
Writing and translation,2016,12.8917
Writing and translation,2017,15.8764
Writing and translation,2018,17.5006
Writing and translation,2019,16.526
Writing and translation,2020,16.7158
Writing and translation,2021,18.1084
Writing and translation,2022,19.4012
Writing and translation,2023,13.8856
Writing and translation,2024,8.6556
