area,occupation,year,workers
ABW,Creative and multimedia,2020,1.6
ABW,Creative and multimedia,2023,0.66
ABW,Professional services,2020,0.8
ABW,Sales and marketing support,2020,1.6
ABW,Software development and technology,2020,5.94
ABW,Software development and technology,2023,0.1
ABW,Software development and technology,2024,0.1
ABW,Writing and translation,2019,3.33
ABW,Writing and translation,2020,0.93
ABW,Writing and translation,2021,1.17
AFG,Clerical and data entry,2018,19.5
AFG,Clerical and data entry,2020,0.71
AFG,Clerical and data entry,2021,7.02
AFG,Clerical and data entry,2022,6.16
AFG,Creative and multimedia,2018,13.43
AFG,Creative and multimedia,2019,14.77
AFG,Creative and multimedia,2020,17.37
AFG,Creative and multimedia,2021,22.34
AFG,Creative and multimedia,2022,30.92
AFG,Creative and multimedia,2023,8.48
AFG,Creative and multimedia,2024,6.5
AFG,Professional services,2018,36.93
AFG,Professional services,2020,8.0
AFG,Professional services,2022,2.03
AFG,Professional services,2023,1.87
AFG,Professional services,2024,2.67
AFG,Sales and marketing support,2018,1.0
AFG,Sales and marketing support,2020,8.81
AFG,Sales and marketing support,2023,0.2
AFG,Sales and marketing support,2024,0.45
AFG,Software development and technology,2017,28.67
AFG,Software development and technology,2018,26.78
AFG,Software development and technology,2019,25.25
AFG,Software development and technology,2020,9.13
AFG,Software development and technology,2021,0.77
AFG,Software development and technology,2022,8.46
AFG,Software development and technology,2023,10.31
AFG,Software development and technology,2024,10.47
AFG,Writing and translation,2017,15.2
AFG,Writing and translation,2020,20.36
AFG,Writing and translation,2021,10.42
AFG,Writing and translation,2022,11.16
AFG,Writing and translation,2023,2.87
AFG,Writing and translation,2024,1.98
AGO,Creative and multimedia,2022,0.51
AGO,Creative and multimedia,2023,0.26
AGO,Creative and multimedia,2024,0.45
AGO,Professional services,2024,0.29
AGO,Sales and marketing support,2020,0.4
AGO,Sales and marketing support,2024,0.03
AGO,Software development and technology,2019,16.25
AGO,Software development and technology,2022,0.2
AGO,Software development and technology,2023,0.13
AGO,Software development and technology,2024,0.25
AGO,Writing and translation,2023,0.47
AGO,Writing and translation,2024,0.18
ALB,Clerical and data entry,2017,13.84
ALB,Clerical and data entry,2020,13.71
ALB,Clerical and data entry,2021,15.62
ALB,Clerical and data entry,2022,13.4
ALB,Creative and multimedia,2017,41.55
ALB,Creative and multimedia,2018,49.77
ALB,Creative and multimedia,2019,45.9
ALB,Creative and multimedia,2020,55.06
ALB,Creative and multimedia,2021,24.24
ALB,Creative and multimedia,2022,37.63
ALB,Creative and multimedia,2023,31.51
ALB,Creative and multimedia,2024,48.43
ALB,Professional services,2020,2.56
ALB,Professional services,2022,2.04
ALB,Professional services,2023,0.9
ALB,Professional services,2024,1.76
ALB,Sales and marketing support,2017,4.58
ALB,Sales and marketing support,2018,58.61
ALB,Sales and marketing support,2019,112.72
ALB,Sales and marketing support,2020,19.93
ALB,Sales and marketing support,2021,10.45
ALB,Sales and marketing support,2022,11.14
ALB,Sales and marketing support,2023,14.68
ALB,Sales and marketing support,2024,12.37
ALB,Software development and technology,2017,36.83
ALB,Software development and technology,2018,51.89
ALB,Software development and technology,2019,34.3
ALB,Software development and technology,2020,95.49
ALB,Software development and technology,2021,274.46
ALB,Software development and technology,2022,344.27
ALB,Software development and technology,2023,84.57
ALB,Software development and technology,2024,94.45
ALB,Writing and translation,2017,18.37
ALB,Writing and translation,2018,22.9
ALB,Writing and translation,2019,16.57
ALB,Writing and translation,2020,8.84
ALB,Writing and translation,2021,2.58
ALB,Writing and translation,2022,2.01
ALB,Writing and translation,2023,3.5
ALB,Writing and translation,2024,5.92
AND,Clerical and data entry,2021,6.04
AND,Professional services,2022,0.63
AND,Professional services,2023,0.91
AND,Software development and technology,2022,8.0
AND,Software development and technology,2024,15.05
AND,Writing and translation,2023,3.63
ARE,Clerical and data entry,2017,9.51
ARE,Clerical and data entry,2018,22.03
ARE,Clerical and data entry,2019,60.72
ARE,Clerical and data entry,2020,58.57
ARE,Clerical and data entry,2021,40.28
ARE,Clerical and data entry,2022,48.8
ARE,Clerical and data entry,2023,25.38
ARE,Clerical and data entry,2024,5.67
ARE,Creative and multimedia,2017,304.45
ARE,Creative and multimedia,2018,484.47
ARE,Creative and multimedia,2019,576.15
ARE,Creative and multimedia,2020,449.83
ARE,Creative and multimedia,2021,356.33
ARE,Creative and multimedia,2022,380.82
ARE,Creative and multimedia,2023,230.45
ARE,Creative and multimedia,2024,289.02
ARE,Professional services,2017,32.22
ARE,Professional services,2018,104.47
ARE,Professional services,2019,51.6
ARE,Professional services,2020,24.53
ARE,Professional services,2021,21.66
ARE,Professional services,2022,13.79
ARE,Professional services,2023,11.74
ARE,Professional services,2024,16.49
ARE,Sales and marketing support,2017,160.8
ARE,Sales and marketing support,2018,166.42
ARE,Sales and marketing support,2019,136.97
ARE,Sales and marketing support,2020,63.6
ARE,Sales and marketing support,2021,148.52
ARE,Sales and marketing support,2022,79.42
ARE,Sales and marketing support,2023,10.11
ARE,Sales and marketing support,2024,24.37
ARE,Software development and technology,2017,289.93
ARE,Software development and technology,2018,363.08
ARE,Software development and technology,2019,495.89
ARE,Software development and technology,2020,633.65
ARE,Software development and technology,2021,434.39
ARE,Software development and technology,2022,196.02
ARE,Software development and technology,2023,326.87
ARE,Software development and technology,2024,428.85
ARE,Writing and translation,2017,41.74
ARE,Writing and translation,2018,108.53
ARE,Writing and translation,2019,57.51
ARE,Writing and translation,2020,78.29
ARE,Writing and translation,2021,109.51
ARE,Writing and translation,2022,98.01
ARE,Writing and translation,2023,15.28
ARE,Writing and translation,2024,46.49
ARG,Clerical and data entry,2017,13.84
ARG,Clerical and data entry,2018,9.59
ARG,Clerical and data entry,2019,131.73
ARG,Clerical and data entry,2020,235.3
