area,variable,percentile,year,value
ARG,spllinf992,p0p100,1990,0.2832
ARG,spllinf992,p0p100,1991,0.2832
ARG,spllinf992,p0p100,1992,0.28960001
ARG,spllinf992,p0p100,1993,0.28740001
ARG,spllinf992,p0p100,1994,0.29339999
ARG,spllinf992,p0p100,1995,0.2886
ARG,spllinf992,p0p100,1996,0.29879999
ARG,spllinf992,p0p100,1997,0.29980001
ARG,spllinf992,p0p100,1998,0.30489999
ARG,spllinf992,p0p100,1999,0.30989999
ARG,spllinf992,p0p100,2000,0.315
ARG,spllinf992,p0p100,2001,0.31999999
ARG,spllinf992,p0p100,2002,0.32499999
ARG,spllinf992,p0p100,2003,0.3301
ARG,spllinf992,p0p100,2004,0.3351
ARG,spllinf992,p0p100,2005,0.33379999
ARG,spllinf992,p0p100,2006,0.33790001
ARG,spllinf992,p0p100,2007,0.34079999
ARG,spllinf992,p0p100,2008,0.3436
ARG,spllinf992,p0p100,2009,0.36039999
ARG,spllinf992,p0p100,2010,0.35299999
ARG,spllinf992,p0p100,2011,0.3497
ARG,spllinf992,p0p100,2012,0.3567
ARG,spllinf992,p0p100,2013,0.3556
ARG,spllinf992,p0p100,2014,0.3556
ARG,spllinf992,p0p100,2015,0.36219999
ARG,spllinf992,p0p100,2016,0.36880001
ARG,spllinf992,p0p100,2017,0.37540001
ARG,spllinf992,p0p100,2018,0.38
ARG,spllinf992,p0p100,2019,0.37909999
ARG,spllinf992,p0p100,2020,0.38929999
ARG,spllinf992,p0p100,2021,0.3777
ARG,spllinf992,p0p100,2022,0.3829
ARG,spllinf992,p0p100,2023,0.38800001
ARG,spllinf992,p0p100,2024,0.3849
ARG,sptincj992,p0p100,1820,1
ARG,sptincj992,p0p100,1850,1
ARG,sptincj992,p0p100,1880,1
ARG,sptincj992,p0p100,1900,1
ARG,sptincj992,p0p100,1910,1
ARG,sptincj992,p0p100,1920,1
ARG,sptincj992,p0p100,1930,1
ARG,sptincj992,p0p100,1932,1
ARG,sptincj992,p0p100,1933,1
ARG,sptincj992,p0p100,1934,1
ARG,sptincj992,p0p100,1935,1
ARG,sptincj992,p0p100,1936,1
ARG,sptincj992,p0p100,1937,1
ARG,sptincj992,p0p100,1938,1
ARG,sptincj992,p0p100,1939,1
ARG,sptincj992,p0p100,1940,1
ARG,sptincj992,p0p100,1941,1
ARG,sptincj992,p0p100,1942,1
ARG,sptincj992,p0p100,1943,1
ARG,sptincj992,p0p100,1944,1
ARG,sptincj992,p0p100,1945,1
ARG,sptincj992,p0p100,1946,1
ARG,sptincj992,p0p100,1947,1
ARG,sptincj992,p0p100,1948,1
ARG,sptincj992,p0p100,1949,1
ARG,sptincj992,p0p100,1950,1
ARG,sptincj992,p0p100,1951,1
ARG,sptincj992,p0p100,1952,1
ARG,sptincj992,p0p100,1953,1
ARG,sptincj992,p0p100,1954,1
ARG,sptincj992,p0p100,1956,1
ARG,sptincj992,p0p100,1958,1
